,name,size,age,bounty,job,crew.roman_name,fruit.type,fruit.roman_name,survive
0,Monkey D Luffy,174.0,19,3000000000.0,Captain,Mugiwara no Ichimi,Paramecia,Gomu Gomu no Mi,1
1,Roronoa Zoro,181.0,21,320000000.0,Right-hand man,Mugiwara no Ichimi,Don't have,Don't have,1
2,Nami,170.0,20,66000000.0,Navigator,Mugiwara no Ichimi,Don't have,Don't have,0
3,Usopp,176.0,19,200000000.0,Sniper,Mugiwara no Ichimi,Don't have,Don't have,1
4,Sanji,180.0,21,330000000.0,Cook,Mugiwara no Ichimi,Don't have,Don't have,0
5,Tony-Tony Chopper,90.0,17,100.0,Doctor,Mugiwara no Ichimi,Zoan,Hito Hito no Mi,0
6,Nico Robin,188.0,30,130000000.0,Archaeologist,Mugiwara no Ichimi,Paramecia,Hana Hana no Mi,1
7,Franky,240.0,36,94000000.0,Carpenter,Mugiwara no Ichimi,Don't have,Don't have,0
8,Brook,277.0,90,83000000.0,Musician,Mugiwara no Ichimi,Paramecia,Yomi Yomi no Mi,0
9,Jinbe,301.0,46,438000000.0,Helmsman,Mugiwara no Ichimi,Don't have,Don't have,0
11,Cavendish,208.0,26,330000000.0,Captain,Mugiwara Dai-sendan,Don't have,Don't have,1
12,Suleiman,240.0,40,670000000.0,Fighter,Mugiwara Dai-sendan,Don't have,Don't have,1
13,Bartolomeo,220.0,24,200000000.0,Captain,Mugiwara Dai-sendan,Paramecia,Bari Bari no Mi,1
15,Sai,242.0,28,210000000.0,13th Chief Commander,Mugiwara Dai-sendan,Don't have,Don't have,0
17,Baby 5,181.0,24,0.0,Don't have,Mugiwara Dai-sendan,Paramecia,Buki Buki no Mi,0
18,Ideo,225.0,22,0.0,Captain,Mugiwara Dai-sendan,Don't have,Don't have,0
19,Blue Gilly,314.0,24,0.0,Don't have,Mugiwara Dai-sendan,Don't have,Don't have,0
22,Léo,23.0,25,0.0,Captain,Mugiwara Dai-sendan,Paramecia,Nui Nui no Mi,0
25,Hajrudin,2200.0,81,0.0,Captain,Mugiwara Dai-sendan,Don't have,Don't have,0
30,Orlumbus,480.0,42,148000000.0,Admiral,Mugiwara Dai-sendan,Don't have,Don't have,0
31,Baggy / Le Clown,192.0,39,150000000.0,Chairman,Bagīzu Deribarī,Paramecia,Bara Bara no Mi,1
32,Alvida,198.0,27,5000000.0,Don't have,Bagīzu Deribarī,Paramecia,Sube Sube no Mi,0
33,Galdino,179.0,37,24000000.0,Don't have,Bagīzu Deribarī,Paramecia,Doru Doru no Mi,0
34,Morge,197.0,29,0.0,Don't have,Bagīzu Deribarī,Don't have,Don't have,0
35,Cabaji,208.0,34,0.0,Don't have,Bagīzu Deribarī,Don't have,Don't have,0
36,Kuro,207.0,35,16000000.0,Captain,Kuroneko Kaizoku Dan,Don't have,Don't have,1
37,Sham,201.0,23,7000000.0,Officer,Kuroneko Kaizoku Dan,Don't have,Don't have,0
38,Buchi,216.0,23,7000000.0,Officer,Kuroneko Kaizoku Dan,Don't have,Don't have,0
39,Krieg / Don Krieg,243.0,44,17000000.0,Captain,Kuriiku Kaizoku Kantai,Don't have,Don't have,1
40,Gyn,186.0,27,12000000.0,Vice-Admiral,Kuriiku Kaizoku Kantai,Don't have,Don't have,0
41,Pearl,239.0,25,0.0,Captain (2nd Battalion),Kuriiku Kaizoku Kantai,Don't have,Don't have,0
42,Montblanc Cricket,242.0,43,25000000.0,Commander-in-Chief,Saruyama Rengō,Don't have,Don't have,0
43,Masira,345.0,25,23000000.0,Don't have,Saruyama Rengō,Don't have,Don't have,0
44,Shojo,351.0,27,36000000.0,Don't have,Saruyama Rengō,Don't have,Don't have,0
45,Foxy,180.0,38,24000000.0,Captain,Fokushī Kaizokudan,Paramecia,Noro Noro no Mi,1
48,Gecko Moria,692.0,50,320000000.0,Captain,Surirā Bāku,Paramecia,Kage Kage no Mi,1
49,Hogback,223.0,47,0.0,Mysterious Four,Surirā Bāku,Don't have,Don't have,0
50,Absalom,195.0,36,0.0,Mysterious Four,Surirā Bāku,Paramecia,Suke Suke no Mi,0
51,Perona,160.0,25,0.0,Mysterious Four,Surirā Bāku,Paramecia,Horo Horo no Mi,0
52,Laura,215.0,26,24000000.0,Captain,Rōringu Kaizokudan,Don't have,Don't have,1
53,Trafalgar D. Water Law,191.0,26,500000000.0,Captain,Hāto no Kaizokudan,Paramecia,Ope Ope no Mi,1
54,Bepo,240.0,22,500.0,Browser,Hāto no Kaizokudan,Don't have,Don't have,0
58,Eustass Kidd,205.0,23,470000000.0,Captain,Kiddo Kaizokudan,Paramecia,Jiki Jiki no Mi,1
59,Killer,195.0,27,200000000.0,Fighter,Kiddo Kaizokudan,Don't have,Don't have,1
62,Capone Bege,166.0,42,350000000.0,Captain,Faia Tanku Kaizokudan,Paramecia,Shiro Shiro no Mi,1
